Grupo,Fecha,Hora,Sede,Pais,Equipo Local,Equipo Visitante,Goles Local,Goles Visitante,Ganador,Probabilidad Local(%),Probabilidad Empate(%),Probabilidad Visitante(%),Confianza(%)
A,2026-06-11,21:00,Mexico City,Mexico,Mexico,South Africa,1,1,Mexico,51.6,24.6,23.8,51.6
A,2026-06-12,04:00,Guadalajara,Mexico,South Korea,Czechia,1,1,South Korea,44.0,23.5,32.5,44.0
A,2026-06-17,21:00,Monterrey,Mexico,South Korea,South Africa,1,0,South Korea,50.0,25.0,25.0,50.0
A,2026-06-18,21:00,Guadalajara,Mexico,Mexico,Czechia,1,1,Mexico,52.4,24.2,23.4,52.4
A,2026-06-23,21:00,Mexico City,Mexico,Mexico,South Korea,1,1,South Korea,34.0,25.4,40.6,40.6
A,2026-06-23,21:00,Toronto,Canada,Czechia,South Africa,1,1,Czechia,41.2,25.9,32.9,41.2
B,2026-06-12,21:00,Toronto,Canada,Canada,Bosnia & Herzegovina,1,1,Canada,54.0,22.6,23.4,54.0
B,2026-06-13,21:00,San Francisco,USA,Qatar,Switzerland,0,1,Switzerland,18.2,21.2,60.6,60.6
B,2026-06-18,21:00,Vancouver,Canada,Canada,Qatar,2,1,Canada,55.5,22.3,22.2,55.5
B,2026-06-19,21:00,New York,USA,Switzerland,Bosnia & Herzegovina,1,1,Switzerland,49.6,25.2,25.2,49.6
B,2026-06-23,23:00,Vancouver,Canada,Switzerland,Canada,1,1,Switzerland,44.0,24.4,31.6,44.0
B,2026-06-24,21:00,Toronto,Canada,Bosnia & Herzegovina,Qatar,1,1,Bosnia & Herzegovina,40.2,24.1,35.7,40.2
C,2026-06-13,23:00,New York,USA,Brazil,Morocco,1,1,Brazil,43.1,25.9,31.0,43.1
C,2026-06-14,02:00,Boston,USA,Haiti,Scotland,1,1,Scotland,22.0,25.3,52.7,52.7
C,2026-06-19,23:00,Boston,USA,Scotland,Morocco,0,1,Morocco,23.9,21.1,55.0,55.0
C,2026-06-20,18:00,Miami,USA,Brazil,Haiti,2,0,Brazil,69.2,18.5,12.3,69.2
C,2026-06-24,23:00,Miami,USA,Scotland,Brazil,1,1,Brazil,21.3,26.0,52.7,52.7
C,2026-06-24,21:00,Atlanta,USA,Morocco,Haiti,1,0,Morocco,67.8,19.8,12.4,67.8
D,2026-06-13,03:00,Los Angeles,USA,USA,Paraguay,1,0,USA,56.9,24.5,18.6,56.9
D,2026-06-14,05:00,Vancouver,Canada,Australia,Turkey,1,1,Turkey,30.2,25.9,43.9,43.9
D,2026-06-19,19:00,Kansas City,USA,Paraguay,Australia,1,1,Australia,33.6,28.2,38.2,38.2
D,2026-06-20,18:00,Dallas,USA,USA,Turkey,1,1,USA,47.9,23.9,28.2,47.9
D,2026-06-25,18:00,Seattle,USA,USA,Australia,1,1,USA,52.8,24.8,22.4,52.8
D,2026-06-25,21:00,Miami,USA,Turkey,Paraguay,1,1,Turkey,39.6,26.6,33.8,39.6
E,2026-06-14,18:00,Houston,USA,Germany,Curacao,2,0,Germany,79.0,13.8,7.2,79.0
E,2026-06-15,01:00,Atlanta,USA,Ivory Coast,Ecuador,1,1,Ecuador,34.3,26.5,39.2,39.2
E,2026-06-20,20:00,Houston,USA,Ecuador,Germany,0,2,Germany,17.3,22.1,60.6,60.6
E,2026-06-21,15:00,Miami,USA,Curacao,Ivory Coast,0,1,Ivory Coast,15.8,21.1,63.1,63.1
E,2026-06-25,21:00,New York,USA,Ecuador,Curacao,1,0,Ecuador,63.8,22.1,14.1,63.8
E,2026-06-26,18:00,Seattle,USA,Germany,Ivory Coast,2,0,Germany,62.3,19.8,17.9,62.3
F,2026-06-14,21:00,Dallas,USA,Netherlands,Japan,1,1,Netherlands,38.6,26.1,35.3,38.6
F,2026-06-15,04:00,Seattle,USA,Sweden,Tunisia,1,0,Sweden,51.4,24.0,24.6,51.4
F,2026-06-20,15:00,Dallas,USA,Japan,Sweden,1,1,Japan,37.5,27.6,34.9,37.5
F,2026-06-21,15:00,Dallas,USA,Netherlands,Tunisia,1,0,Netherlands,56.7,22.7,20.6,56.7
F,2026-06-25,21:00,Vancouver,Canada,Netherlands,Sweden,2,1,Netherlands,58.5,21.9,19.6,58.5
F,2026-06-26,18:00,Los Angeles,USA,Japan,Tunisia,1,0,Japan,49.5,25.9,24.6,49.5
G,2026-06-15,15:00,Seattle,USA,Belgium,Egypt,1,1,Belgium,47.6,23.7,28.7,47.6
G,2026-06-15,15:00,Vancouver,Canada,Iran,New Zealand,1,1,Iran,49.3,24.5,26.2,49.3
G,2026-06-21,22:00,Seattle,USA,Belgium,Iran,1,1,Belgium,54.1,24.1,21.8,54.1
G,2026-06-21,22:00,Vancouver,Canada,Egypt,New Zealand,1,0,Egypt,59.8,22.5,17.7,59.8
G,2026-06-26,22:00,Seattle,USA,Egypt,Iran,1,1,Egypt,38.4,25.1,36.5,38.4
