RECOMENDACION PRODE MUNDIAL 2026

ESTRATEGIA
Categoria,Pick Seguro,Pick Value,Rivales sin pick,Explicacion
Campeon,Germany,Belgium,7,El pick seguro tiene mayor probabilidad. El value pick da ventaja si acierta porque menos rivales lo tienen.
Semifinalistas,Germany + Spain,England,2,"Mezclar picks obvios + value. Si aciertas el value, sumas puntos que nadie mas tiene."

═══ MULTIPLICADORES X2 RECOMENDADOS ═══
#,Partido,Resultado,Ganador,P(Resultado),P(Exacto),EV Ganancia
1,Germany vs Curacao,3-0,Germany,81.7%,12.43%,2.451
2,Brazil vs Haiti,1-0,Brazil,72.1%,12.01%,2.163
3,Spain vs Saudi Arabia,1-0,Spain,69.8%,12.33%,2.094

═══ RECOMENDACION CAMPEON ═══
Rank,Equipo,Probabilidad Ajustada,Factor de Diferenciacion,Valor Ajustado
1,Germany,12.2%,1.23,0.897
2,France,11.3%,1.23,0.831
3,Argentina,10.72%,1.15,0.74
4,England,9.34%,1.3,0.729
5,Spain,8.99%,1.3,0.701

═══ RECOMENDACION SEMIFINALISTAS (4 picks) ═══
Prioridad,Equipo,Probabilidad Ajustada,Factor de Diferenciacion,Valor Ajustado
1,Germany,9.48%,1.23,0.465
2,Spain,8.25%,1.3,0.429
3,France,8.22%,1.23,0.403
4,England,7.54%,1.3,0.392
5,Argentina,8.26%,1.15,0.38
6,Portugal,6.23%,1.52,0.38

═══ RECOMENDACION GOLEADOR ═══
Rank,Jugador,Equipo,Tier,Goles Raw,Goles Ajustados
1,Luis Díaz,Colombia,SuperEstrella,8,12
2,Armando González,Mexico,SuperEstrella,6,9
3,Harry Kane,England,SuperEstrella,6,9
4,Luis Suárez,Colombia,Leyenda,4,8
5,Riyad Mahrez,Algeria,Leyenda,4,8
6,Julian Quiñones,Mexico,Estrella,6,7.2
7,Haji Wright,USA,Estrella,5,6
8,Ivan Perisic,Croatia,Leyenda,3,6
9,Mohamed Salah,Egypt,Leyenda,3,6
10,Jhon Córdoba,Colombia,Estrella,4,4.8

═══ TOP 10 X2 (completo) ═══
Rank,Partido,Resultado,P(Resultado),P(Exacto),EV Ganancia
1,Germany vs Curacao,3-0,81.7%,12.43%,2.451
2,Brazil vs Haiti,1-0,72.1%,12.01%,2.163
3,Spain vs Saudi Arabia,1-0,69.8%,12.33%,2.094
4,France vs Iraq,2-0,69.0%,12.85%,2.07
5,Morocco vs Haiti,2-0,68.6%,13.03%,2.058
6,England vs Panama,2-0,67.6%,11.92%,2.028
7,Ecuador vs Curacao,2-0,65.6%,12.66%,1.968
8,Curacao vs Ivory Coast,1-2,64.5%,9.75%,1.935
9,Portugal vs DR Congo,2-1,63.4%,9.83%,1.902
10,England vs Ghana,4-0,61.5%,3.93%,1.845

═══ PROBABILIDAD CAMPEON (plausibility ajustada) ═══
Rank,Equipo,Raw %,Plausibilidad,Ajustada %
1,Germany,9.5%,0.77,12.2%
2,France,8.8%,0.77,11.3%
3,Argentina,8.2%,0.78,10.72%
4,England,8.0%,0.7,9.34%
5,Spain,7.7%,0.7,8.99%
6,Brazil,5.8%,0.7,6.77%
7,Portugal,5.6%,0.7,6.54%
8,Netherlands,4.4%,0.66,4.88%
9,Belgium,4.2%,0.59,4.17%
10,USA,3.7%,0.59,3.67%
11,Uruguay,3.0%,0.7,3.5%
12,Colombia,3.0%,0.52,2.63%
13,Croatia,2.1%,0.63,2.21%
14,Morocco,2.2%,0.59,2.18%
15,Japan,1.6%,0.52,1.4%

═══ PROBABILIDAD SEMIFINALISTA (plausibility ajustada) ═══
Rank,Equipo,Raw %,Plausibilidad,Ajustada %
1,Germany,25.6%,0.94,9.48%
2,Argentina,21.9%,0.95,8.26%
3,Spain,24.5%,0.85,8.25%
4,France,22.2%,0.94,8.22%
5,England,22.4%,0.85,7.54%
6,Brazil,19.6%,0.85,6.6%
7,Portugal,18.5%,0.85,6.23%
8,Netherlands,14.2%,0.81,4.54%
9,Uruguay,13.1%,0.85,4.41%
10,Belgium,13.6%,0.72,3.89%
11,USA,13.4%,0.72,3.83%
12,Colombia,14.0%,0.64,3.53%
13,Croatia,10.2%,0.77,3.09%
14,Morocco,9.8%,0.72,2.8%
15,Mexico,14.5%,0.38,2.2%
