Grupo,Posicion,Equipo,Puntos,PG,PE,PP,GF,GC,DG
A,1,South Korea,5,1,2,0,3,2,1
A,2,Mexico,3,0,3,0,3,3,0
A,3,Czechia,3,0,3,0,3,3,0
A,4,South Africa,2,0,2,1,2,3,-1
B,1,Canada,5,1,2,0,4,3,1
B,2,Switzerland,5,1,2,0,3,2,1
B,3,Bosnia & Herzegovina,3,0,3,0,3,3,0
B,4,Qatar,1,0,1,2,2,4,-2
C,1,Morocco,7,2,1,0,3,1,2
C,2,Brazil,5,1,2,0,4,2,2
C,3,Scotland,2,0,2,1,2,3,-1
C,4,Haiti,1,0,1,2,1,4,-3
D,1,USA,5,1,2,0,3,2,1
D,2,Australia,3,0,3,0,3,3,0
D,3,Turkey,3,0,3,0,3,3,0
D,4,Paraguay,2,0,2,1,2,3,-1
E,1,Germany,9,3,0,0,6,0,6
E,2,Ecuador,4,1,1,1,2,3,-1
E,3,Ivory Coast,4,1,1,1,2,3,-1
E,4,Curacao,0,0,0,3,0,4,-4
F,1,Netherlands,7,2,1,0,4,2,2
F,2,Japan,5,1,2,0,3,2,1
F,3,Sweden,4,1,1,1,3,3,0
F,4,Tunisia,0,0,0,3,0,3,-3
G,1,Belgium,5,1,2,0,4,2,2
G,2,Egypt,5,1,2,0,3,2,1
G,3,Iran,3,0,3,0,3,3,0
G,4,New Zealand,1,0,1,2,1,4,-3
H,1,Spain,9,3,0,0,5,1,4
H,2,Uruguay,6,2,0,1,4,2,2
H,3,Cape Verde,1,0,1,2,1,3,-2
H,4,Saudi Arabia,1,0,1,2,1,5,-4
I,1,France,5,1,2,0,4,2,2
I,2,Norway,5,1,2,0,4,2,2
I,3,Senegal,5,1,2,0,3,2,1
I,4,Iraq,0,0,0,3,0,5,-5
J,1,Argentina,7,2,1,0,4,1,3
J,2,Austria,5,1,2,0,4,2,2
J,3,Algeria,2,0,2,1,2,3,-1
J,4,Jordan,1,0,1,2,1,5,-4
K,1,Portugal,7,2,1,0,4,1,3
K,2,Colombia,7,2,1,0,3,1,2
K,3,Uzbekistan,3,1,0,2,1,3,-2
K,4,DR Congo,0,0,0,3,0,3,-3
L,1,England,7,2,1,0,5,1,4
L,2,Croatia,7,2,1,0,3,1,2
L,3,Ghana,1,0,1,2,1,4,-3
L,4,Panama,1,0,1,2,1,4,-3
